-,-,LnCac0 / LnNcpv0 vs. LnCac1 -- Zeta
-,-,Slope; 4.7596 N=12 R^2: 0.8648 p-value: 0.043573 y-int -0.5500
LnCac0 / LnNcpv0, LnCac1
0, 0
0.6432141900737977, 0
0.26231517988512754, 0
0, 0
0, 0
0.9710033899612511, 4.143134726391533
0.1461889298737325, 0
0.9015366321328295, 3.6888794541139363
1.1394427589104996, 5.869296913133774
1.2745596383334394, 4.912654885736052
1.0980360579681494, 5.863631175598097
1.1997997113370333, 5.267858159063328


-,-,LnCac0 / LnNcpv0 vs. LnCac1 -- Theta
-,-,Slope; 3.5542 N=23 R^2: 0.8847 p-value: 0.015075 y-int 0.9119
LnCac0 / LnNcpv0, LnCac1
0, 0.6931471805599453
0, 1.0986122886681098
0, 0.6931471805599453
0, 0.6931471805599453
0, 0.6931471805599453
0.35285263872984957, 1.9459101490553132
0.9647593924678355, 3.6375861597263857
0.877286031413336, 2.6390573296152584
1.0411460407002446, 4.219507705176107
0.3255009363788492, 2.1972245773362196
0, 1.3862943611198906
0.7724007307085876, 3.091042453358316
0.6036728262897569, 2.9444389791664403
0.27144150822594215, 1.791759469228055
0.45205229008535625, 2.8903717578961645
0.8318813233527058, 3.912023005428146
0.22164943200951182, 2.0794415416798357
0.6604399736330077, 3.4657359027997265
0.8607555653155671, 4.406719247264253
1.0010636260309163, 4.6443908991413725
0.9175571828446315, 4.8283137373023015
1.0281475831090183, 5.707110264748875
0.8289472102329216, 4.007333185232471

-,-,LnCac0 / LnNcpv0 vs. LnCac1 -- Eta
-,-,Slope; 4.0203 N=17 R^2: 0.4884 p-value: 0.373233 y-int 1.2236
LnCac0 / LnNcpv0, LnCac1
0.8688607994125579, 3.7376696182833684
1.0630901185378252, 4.663439094112067
0.9961730542492246, 4.584967478670572
0.8175811528613812, 4.6443908991413725
0.9622938095066099, 4.584967478670572
0.9631345449908901, 5.389071729816501
1.0484241406252823, 5.5053315359323625
0.7062302027241281, 3.58351893845611
0.9822425957367792, 5.537334267018537
0.9072391782794026, 5.541263545158426
0.8193105055662985, 4.61512051684126
1.1930588223437388, 5.993961427306569
0.9334484316946257, 5.442417710521793
1.1395504941992651, 6.645090969505644
1.0525373565090204, 5.777652323222656
1.229792181584599, 5.60947179518496
0.883830680147293, 5.54907608489522

--

-,-,LnCac0 / LnNcpv1 vs. LnCac1 -- Zeta
-,-,Slope; 4.9337 N=12 R^2: 0.8813 p-value: 0.032112 y-int -0.5092
LnCac0 / LnNcpv1, LnCac1
0, 0
0.5173641628202729, 0
0.25902561928345197, 0
0, 0
0, 0
0.9253378102738982, 4.143134726391533
0.1360779687331669, 0
0.8506729246131384, 3.6888794541139363
1.100342686869395, 5.869296913133774
1.3085760744476183, 4.912654885736052
1.0311375010237032, 5.863631175598097
1.1388484961156078, 5.267858159063328

-,-,LnCac0 / LnNcpv1 vs. LnCac1 -- Theta
-,-,Slope; 3.9015 N=23 R^2: 0.9000 p-value: 0.009245 y-int 0.8730
LnCac0 / LnNcpv1, LnCac1
0, 0.6931471805599453
0, 1.0986122886681098
0, 0.6931471805599453
0, 0.6931471805599453
0, 0.6931471805599453
0.3297159881728276, 1.9459101490553132
0.8691756693182583, 3.6375861597263857
0.8267776654084305, 2.6390573296152584
0.8923483493991499, 4.219507705176107
0.31927963388710684, 2.1972245773362196
0, 1.3862943611198906
0.6707750237222871, 3.091042453358316
0.5776613396057578, 2.9444389791664403
0.25680855464584623, 1.791759469228055
0.4491694490897574, 2.8903717578961645
0.8033125469454092, 3.912023005428146
0.20896115182777275, 2.0794415416798357
0.6485015093091424, 3.4657359027997265
0.7963474917371539, 4.406719247264253
0.8893916599278506, 4.6443908991413725
0.891574050402815, 4.8283137373023015
0.9861109838733201, 5.707110264748875
0.7557726453415707, 4.007333185232471

-,-,LnCac0 / LnNcpv1 vs. LnCac1 -- Eta
-,-,Slope; 4.7831 N=17 R^2: 0.5705 p-value: 0.296039 y-int 0.7710
LnCac0 / LnNcpv1, LnCac1
0.8408890290104237, 3.7376696182833684
0.8983622221657899, 4.663439094112067
0.8586308679540858, 4.584967478670572
0.7681527424747342, 4.6443908991413725
0.9330379097641369, 4.584967478670572
0.8989095019787317, 5.389071729816501
1.033377601382106, 5.5053315359323625
0.664608080850563, 3.58351893845611
0.9191112554962112, 5.537334267018537
0.8835428801490052, 5.541263545158426
0.7832104228023535, 4.61512051684126
1.130087818908135, 5.993961427306569
0.8919864268699415, 5.442417710521793
1.0594671601894434, 6.645090969505644
0.9933697952812031, 5.777652323222656
1.1339433933635201, 5.60947179518496
0.842936576767417, 5.54907608489522

